en,zh_CN,pos,description
binary file,二进制文件
binary format,二进制格式
binary notation,二进制计数法
binary operator,二元运算符
binary transfer,二进制传送
bind,绑定
binding,绑定
binding entry,绑定项
binding time,汇集时间
BIOS,BIOS
basic input/output system,基本输入输出系统
bit,比特
binary digit,二进制数
bit block,位块
bit count,位计数
bit image,位图
bitmap,位图
bit mask,位掩码
bitmask,位掩码
bit rate,比特率
bitrate,比特率
bit stream,位流
bitmap,位图
bitwise operation,位运算
blank,空白
blank line,空白行
blank page,空白页
blank space,空白
blink,闪烁
cursor blink rate,闪烁速率
blink speed,闪烁速度
block,程序块
block,数据块
block cipher,分组加密
block cursor,块状光标
board,插件板；电路板
body,正文
boilerplate text,样本文字
bookmark,书签
Boolean,布尔
Boolean operator,布尔运算符
bootstrap,启动
boot block,引导块
boot disk,启动盘
boot drive,启动驱动器
boot partition,启动分区
boot record,启动记录
boot sector,启动扇区
bootable,可启动的
border,边框
BounceKeys,回弹键
bound,边界
bound column,绑定列
bound control,绑定控件
bound object frame,绑定对象框架
branch,分支
branching,分支
break,中断
break,中断
break,中断
break mode,中断模式
breakpoint,断点
bridge,网桥
brightness,亮度
broadband,宽带的
broadband modem,宽带调制解调器
broadcast,广播
broadcast address,广播地址
broadcast message,广播消息
broadcast network,广播网络
broken hyperlink,断开的链接
broken link,断开的链接
browse,浏览
browser,浏览器
brush,画笔
B-tree,B 树
buffer,缓冲
buffer size,缓冲区大小 
bug,bug
bug report,Bug 报告
build, 版本
built-in group,内置组
built-in toolbar,内置工具栏
bulk copy,大容量复制
bulk storage,大容量存储器
bulleted list,点符列表
bump map,平滑效果
bump mapping,平滑
bundle,捆绑
burst,突发
burst mode,突发模式
bus,总线
bus mouse,总线鼠标
bus network,总线网络
business,业务
business-to-business site,企业到企业站点
business-to-consumer site,企业到客户站点
busy,忙
busy,占线
busy signal,忙线信号
button,按钮
button face,按钮表面
by default,默认方式
bypass,旁路
byte,字节
CA,CA
certification authority,证书颁发机构
CA compromise,CA 泄漏
cabinet file,Cabinet 文件
cable,电缆
cable connector,电缆连接器
cable modem,电缆调制解调器
cache,高速缓存
cache,缓存
cache line,缓存行
cache file,缓存文件
cache hit,缓存命中
cache miss,缓存失误
cached copy,缓存副本
cached data,缓存数据
cached locally,本地缓存
caching,高速缓存
calculate,计算
calculated control,计算控件
calculated expression,计算表达式
calculated field,计算字段
calculator,计算器
calendar program,日历程序
calibrate,校准
CA name,CA 名称
calibration,校准
call,呼叫
Call Level Interface,调用级别接口
call-level interface,调用级别接口
CLI,CLI
call stack,调用堆栈
call tree,调用树
call waiting,呼叫等待
callback,回叫
callback function,回调函数
callee,被调用方
calling router,呼叫路由器
webcam,网络摄像头
camera,照相机
campaign,市场活动
campaign goaling,广告活动目标设定
goaling,活动目标设定
campaign item,市场活动项
campaign item ID,活动项目 ID
cancel,取消
candidate key,候选键
canonical form,规范格式
canonical name,规范名称
capacity,容量
capacity planning,容量计划
CAPI,CAPI
CryptoAPI,CryptoAPI
Cryptography Application Programming Interface,加密应用程序编程接口
capitalized letter,大写字母
capitalization,大写
capitalize,大写
capitalized,大写
CAPS LOCK,Caps Lock
CAPS LOCK key,Caps Lock 键
caption,标题
capture device,捕获设备
capture drift,捕获偏移
capture trigger,捕获触发器
carbon copy,抄送
cc,cc
card,插件板
cardholder,持卡人
insertion point,插入点
system caret,系统脱字号
carriage,托架
carrier,运营商
cartridge,盒
cascade,层叠
Cascading Style Sheets,级联样式表
CSS,CSS
cascading windows,级联窗口
cash flow,现金流量
coercion,强制转换
catalog,目录
catalog data,目录数据
Catalog Designer module,目录设计器模块
Catalog Editor module,目录编辑器模块
catalog expression,目录表达式
catalog schema,目录构架
catalog set,目录集
Catalog Sets module,目录集模块
category hierarchy,类别层次结构
category relationship,类别关系
CBT,CBT
CCD,CCD
charge-coupled device,电荷耦合设备
CD,CD
compact disc,光盘
CD player,CD 播放机
compact disc player,光盘播放机
CD sleeve,CD 封套
CDFS,CDFS
Compact Disc File System,光盘文件系统
CD-ROM,CD-ROM
compact disc read-only memory,光盘只读存储器
CD-ROM drive,CD-ROM 驱动器
cedilla,下加符
cell,单元格
cell padding,单元格填充
cent sign,分币符号
center,居中
central processing unit,中心处理单元
CPU,CPU
Centronics,森特
certificate chain,证书链
validation chain,验证链
chain of trust,信任链
certificate issuer,证书颁发者
certificate of authenticity,真品证书
COA,COA
certificate policy,证书策略
certificate revocation list,证书吊销列表
CRL,CRL
certificate store,证书存储
certificate template,证书模板
certificate trust list,证书信任列表
CTL,CTL
trust list,信任列表
certification hierarchy,证书层次结构
CGA,CGA
color graphics adapter,彩色/图形适配器
CGI,CGI
common gateway interface,通用网关接口
challenge password,质询密码
challenge/response authentication,质询/响应验证
change,更改
change file,更改文件
channel,通道
character,字符
character cell,字符单元
character device,字符设备
character map,字符映射
character mode,字母数字模式
character set,字符集
character spacing,字符间距
character string,字符串
character style,字符样式
character user interface,字符用户界面
characters per inch,每英寸字符数
characters per second,每秒字符数
credit card,信用卡
chart,图表
chat,聊天
chat,聊天
check box,复选框
checklist,清单
check mark,复选标记
check-in,签入
checkout,结帐
check-out,签出
checksum,校验和
child,子级
child category,子类别
child domain,子域
subdomain,子域
child window,子窗口
chip,芯片
choose,选择
CIM,CIM
Common Information Model,通用信息模型
CIM Object Manager,CIM 对象管理器
CIM schema,CIM 架构
circular dependency,循环依赖
circular reference,循环引用
CISC,CISC
complex instruction set computing,复杂指令集计算
class ID,类 ID
CLSID,CLSID
class identifier,类标识符
class key,类别键
class key member,类别键成员
class member relation,类成员关系
class meta-data,类元数据
class module,类模块
class name,类名
class name,类名
class provider,类别驱动程序
class relation,类关系
clause,子句
clear,清楚
Clear To Send,清除发送
CTS,CTS
clear-text password,明文密码
ClearType,ClearType
click,单击
double-click speed,点击速度
image map,图像映射
clickable map,可点击映射
clickthrough,点击链接
client,客户
client,客户端
client access point,客户端接入点
client script,客户端脚本
client/server architecture,客户端/服务器体系结构
client/server computing,客户端/服务器计算
clip,剪辑
clip,剪裁
clip art,剪贴画
clipboard,剪贴板
clipbook,剪贴薄
clock,时钟
clock rate,时钟速率
clock setting,时钟设置
clone,克隆
cloning,克隆
close,关闭
Close button,关闭按钮
close tag,结束标记
closing chevron,右书名号
closing parenthesis,右括号
cluster,群集
cluster controller,群集控制器
cluster quorum,群集仲裁
cluster-aware application,群集感知应用程序
clustered index,聚集索引
clustered server,群集服务器
clustering,群集
cluster-unaware application,群集不敏感的应用程序
CLUT,CLUT
color look-up table,颜色表
color map,颜色映射
CMYK,CMYK
code page,代码页
code segment,代码段
code snippet,代码片段
code snippet,代码片段
code stub,代码存根
code value,代码
codec,压缩解压缩程序
codec,编解码器
cold start,冷启动
collapse,折叠
collapsed backbone,折叠式主干网
collate,整理
collating sort,合并排序
collation,排序规则
collation sequence,合并序列
collection,集合
collection interface,集合界面
color balance,颜色平衡
color gamut,颜色域
color monitor,彩色监视器
color palette,调色板
color printer,彩色打印机
color profile,颜色配置文件
color scheme,配色方案
color space,颜色空间
color space model,颜色空间模型
column,列
column,列
column break,分栏符
column graph,柱形图
column heading,列标题
COM,COM
Component Object Model,组件对象模型
COM+,COM+
Component Services,组件服务
Microsoft Component Services,Microsoft 组件服务
combo box,组合框
comma,逗号
comma delimited file,逗号分隔文件
comma-delimited file,逗号分隔文件
comma-separated file,逗号分隔文件
comma-separated value file,逗号分隔值文件
CSV,CSV
comma-separated values file,逗号分隔值文件
command,命令
command button,命令按钮
push button,按钮
command interpreter,命令解释器
command line,命令行
command prompt,命令提示符
command prompt window,命令提示符窗口
comment,注释
comment block,注释块
Commerce Server Direct Mailer,Commerce Server 直邮发送器
Commerce Server Manager,商业服务器管理器
commit,确认
committed memory,提交的内存
common groups,公用组
common model,一般模型
common name,公用名
communication channel,信道
communications channel,信道
communications protocol,通信协议
compaction,压缩
company,公司
compare,比较
comparison criteria,比较条件
compatibility,兼容性
compatibility,兼容性
compatibility mode,兼容性模式
compatible,兼容
compile,编译
compile time,编译时
compiler,编译程序
compliant,"相容的, 符合的, 适合的"
component,组件
component,组件
compose,撰写
composite index,组合索引
composite key,组合键
compound control,复合控件
compound statement,复合语句
compress,压缩
compressed disk,压缩盘
compression,压缩
compute,计算
computer language,计算机语言
computer name,计算机名
computer program,计算机程序
CSO,CSO
COM-structured storage file,COM 结构的存储文件
concatenate,连接
concatenation, 串联
concurrency,并发
concurrent,并发
concurrent execution,并发执行
condition,条件
conditional,条件的
confidence interval,置信区间
config.sys,config.sys
configuration,配置
configuration,配置
configuration file,配置文件
config file,配置文件
configure,配置
confirm,确认
conflict,冲突
connect time,连接时间
connected graph,连接图表
connected network,已连接网络
connected user,已连接用户
connection,连接
connection string,连接字符串
connectionless,无连接的
connection-oriented,面向连接
connectivity,连接性
connectivity,连接性
connectivity,连接性
connector application,连接器应用程序
console,控制台
console tree,控制台树
constant,常数
constraint violation,约束冲突
constructor,构造函数
constructor string,构造函数字符串
contact,联系人
container,容器
container,容器
container application,容器应用程序
container object,容器对象
content pane,内容窗格
content replication,内容复制
Content Selection Framework,内容选择框架
CSF,CSF
content size,内容大小
contention,争用
context menu,上下文菜单
shortcut menu,快捷菜单
pop-up menu,弹出菜单
context-sensitive Help,上下文相关帮助
context-sensitive menu,上下文相关菜单
contextual,上下文的
contiguous,相邻的
contiguous selection,连续选择
range selection,范围选择
continuous-tone image,连续色调图像
contrast,对比度
control,控件
control,控制
control bar,控件条 
control code,控制代码
Control Panel,控制面板
control-break report,控制中断报表
convention,约定
conventional memory,低位存储区
conversation mode,对话模式
conversion,转换
conversion function,转换函数
conversion table,转换表
conversion tool,转换工具
convert,转换
converter,转换器
cooked mode,成熟模式
coordinate,坐标
coprocessor,协处理器
copy,复制
copy area,复制区域
copy backup,复制备份
copy protection,复制保护
copy-on-write page protection,写入时复制页面保护
copyright,版权所有
copyright symbol,版权符号
core,核心
core model,核心模型
correlated subquery,相关子查询
corruption,损坏
counter,计数器
countersign,副署
counter-signature,副署
country code,国家/地区代码
CPU cycle,CPU 周期
CPU speed,CPU 速度
CPU time,CPU 时间
cradle,底座
crash,故障
crash,故障
crash dump,故障转储
crash recovery,故障修复
crawl,爬网
CRC,CRC
cyclic redundancy check,循环冗余检验
create,创建
creation script,创建脚本
creative content,有创意的内容
critical error,关键错误
critical section,关键部分
crop,裁剪
cross hatch,交叉阴影线
cross join,交叉联接
cross-forest authentication,跨林身份验证
cross reference object,交叉引用对象
crosstab query,交叉表查询
cryptographic checksum,加密校验和
cryptographic service provider,加密服务提供程序
CSP,CSP
CS Authentication resource,CS 验证资源
cube,多维数据集
currency LCID,货币 LCID
currency locale identifier,货币区域标识符
currency symbol,货币符号
current,电流
current directory,当前目录
cursor,光标
cursor data type,光标数据类型
cursor library,游标库
custom install,自定义安装
custom price,自定义价格
custom recipient,自定义接收人
custom toolbar,自定义工具栏
customize,自定义
cut,剪切
daemon,守护程序
dagger,#
daisy-wheel printer,菊花轮打印机
dash,#VALUE!
DAT,DAT
digital audio tape,数字音频带
data,数据
data binding,数据绑定
data bit,数据位
data buffer,数据缓冲区
data definition language,数据定义语言
DDL,DDL
data entry,数据输入
data field,数据字段
data file,数据文件
data integrity,数据完整性
data link,数据链接
Data Link Control,数据链路控制
DLC,DLC
data marker,数据标记
data migration,数据迁移
data mining,数据挖掘
data model,数据模型
data processing,数据处理
data provider,数据提供程序
data set,数据集
data sharing,数据共享
data source,数据源
data source name,数据源名称
DSN,DSN
data stream,数据流
data structure,数据结构
data terminal ready,数据终端就绪
DTR,DTR
data type,数据类型
data warehouse,数据仓库
Data Warehouse,数据仓库
database,数据库
database engine,数据库引擎
database management system,数据库管理系统
DBMS,DBMS
data-link layer,数据链路层
DCE,DCE
Distributed Computing Environment,分布式计算环境
DCOM,DCOM
Distributed Component Object Model,分布式组件对象模型
Distributed COM,分布式 COM
Dynamic Data Exchange,动态数据交换
deallocate,解除分配
debug,调试
debugger,调试程序
decibel,分贝
decimal,十进制
DSS,DSS
declaration,声明
decompress,解压缩
decompression,解压缩
decrypt,解密
default,默认
default button,默认按钮
defragment,碎片整理
defragmentation,碎片整理
DELETE key,删除键
delegate,委托
delete,删除
delimiter,分隔符
density,密度
deploy,部署
deployment,部署
descriptor,描述符
designated router,指定路由器
designer,设计器
design-time control,设计时控件
desktop,桌面
Desktop Management Interface,桌面管理接口
DMI,DMI
desktop publishing,桌面版
destination,目标
destination document,目标文档
destructor,析构函数
detach,拆离
detect,检测
detection,检测
deterministic,确定性的
device,设备
DHCP,DHCP
Dynamic Host Configuration Protocol,动态主机配置协议
diacritical mark,标注字符
diacritic,音调符号
diagram,关系图
dial,拨号
dial tone,拨号音
dialog,对话
dialog bar,对话栏
dialog box,对话框
dial-up,拨号
dial-up connection,拨号连接
dieresis,分音符
digest,摘要
digital,数字的
digital,数字的
digital camera,数字相机
digital signal processor,数字信号处理器
DSP,DSP
digital video disk,数字视盘(DVD)
DVD,DVD
digitally sign,数字签名
digitizing tablet,数字绘图板
dim,阴暗
